Axe #1
-180.00036160568916   |  1356    |  -792467
-174.99966383390705   |  1304    |  -770451        
-169.99851178362096   |  1252    |  -748433        
-164.99963112585476   |  1200    |  -726425        
-159.9998419110806    |  1148    |  -704413        
-165.00008540435874   |  1199    |  -726427        
-159.9998419110806    |  1148    |  -704413        
-154.99937127855048   |  1096    |  -682398        
-150.0000363422803    |  1045    |  -660388        
-145.00001998825417   |  1000    |  -638375        
-140.00000363422802   |  944     |  -616362        
-134.99998728020188   |  893     |  -594349        
-130.00019806542772   |  843     |  -572337        
-125.00018171140158   |  794     |  -550324        
-119.99948393961948   |  744     |  -528308        
-114.9999218640973    |  695     |  -506297        
-109.9992240923152    |  646     |  -484281        
-104.99988915604503   |  597     |  -462271        
-99.99850996650694    |  548     |  -440252        
-95.00008358724473    |  499     |  -418246        
-89.99915867621063    |  450     |  -396229        
-85.00005087919244    |  401     |  -374220        
-79.99867168965436    |  352     |  -352201        
-74.99956389263617    |  303     |  -330192        
-69.99909326010605    |  253     |  -308177        
-64.99998546308787    |  204     |  -286168        
-59.99996910906172    |  153     |  -264155        
-54.999725615783596   |  103     |  -242141        
-50.000163540261426   |  52      |  -220130        
-44.9999200469833     |  1       |  -198116        
-39.999903692957155   |  4045    |  -176103        
-35.000114478183      |  3994    |  -154091        
-30.000098124156857   |  3942    |  -132078        
-24.999854630878726   |  3889    |  -110064        
-20.000065416104572   |  3837    |  -88052         
-15.000049062078428   |  3785    |  -66039         
-9.999124151044331    |  3731    |  -44022         
-4.9995620755221655   |  3678    |  -22011         
0.0                   |  3625    |  0              
5.00047063253012      |  3572    |  22015          
9.999805568800298     |  3519    |  44025          
14.999594783574452    |  3467    |  66037          
19.999838276852582    |  3413    |  88051          
24.999627491626736    |  3361    |  110063         
19.999838276852582    |  3411    |  88051          
29.99964384565288     |  3308    |  132076         
35.001250174442944    |  3256    |  154096         
39.999903692957155    |  3206    |  176103         
45.00105574324324     |  3152    |  198121         
50.00152637577336     |  3102    |  220136         
55.00131559054751     |  3051    |  242148         
59.99996910906172     |  3000    |  264155         
64.99998546308787     |  2950    |  286168         
70.00045609561799     |  2900    |  308183         
74.99979103188817     |  2848    |  330193         
79.99980738591431     |  2800    |  352206         
84.99959660068846     |  2751    |  374218         
89.9996129547146      |  2702    |  396231         
94.99985644799274     |  2653    |  418245         
104.99966201679304    |  2555    |  462270         
99.99987280201888     |  2602    |  440258         
109.99967837081918    |  2506    |  484283         
114.99969472484531    |  2457    |  506296         
119.99993821812345    |  2407    |  528310         
124.99995457214959    |  2358    |  550323         
130.0008794831837     |  2320    |  572340         
134.9997601409499     |  2259    |  594348         
139.99954935572404    |  2209    |  616360         
144.9995657097502     |  2158    |  638373         
149.99980920302832    |  2107    |  660387         
154.99982555705446    |  2056    |  682400         
160.00075046808857    |  2004    |  704417         
164.99963112585476    |  1953    |  726425         
169.9996474798809     |  1901    |  748438         
175.00011811241103    |  1848    |  770453         
179.9996801879332     |  1796    |  792464         
6.722186162604084     |  3555    |  0              
6.722186162604084     |  3555    |  29595          
6.722186162604084     |  3555    |  29595          
-119.99880252186351   |  746     |  -528305        
20.003018226380423    |  3415    |  88065          
