Time,axis_2_enc_position_resolver_motor,axis_2_actual_position,axis_2_raw_position_resolver_motor,raw_position_2_ext
101,329.5458984375,-0.07874633942381494,-5533.0,3063
199,329.5458984375,-0.07874633942381494,-5533.0,3063
302,329.5458984375,-0.07854759257832487,-5533.0,3063
411,329.5458984375,-0.07854759257832487,-5533.0,3063
508,329.5458984375,-0.07854759257832487,-5533.0,3063
600,329.600830078125,-0.07854759257832487,-5542.0,3063
697,329.600830078125,-0.07854759257832487,-5542.0,3063
795,329.600830078125,-0.07854759257832487,-5542.0,3063
896,329.600830078125,-0.07854759257832487,-5542.0,3063
1000,329.600830078125,-0.07854759257832487,-5542.0,3063
1095,329.600830078125,-0.07854759257832487,-5542.0,3063
1195,329.600830078125,-0.07854759257832487,-5542.0,3063
1294,329.600830078125,-0.07854759257832487,-5532.0,3063
1402,329.600830078125,-0.07854759257832487,-5532.0,3063
1501,329.5513916015625,-0.07854759257832487,-5532.0,3063
1595,329.5513916015625,-0.07854759257832487,-5532.0,3063
1700,329.5513916015625,-0.07854759257832487,-5532.0,3063
1798,329.5513916015625,-0.07854759257832487,-5532.0,3063
1899,329.5513916015625,-0.07854759257832487,-5532.0,3063
1996,329.5513916015625,-0.07868955461081778,-5532.0,3063
2093,329.5513916015625,-0.07868955461081778,-5532.0,3063
2196,329.5513916015625,-0.07868955461081778,-5532.0,3063
2295,329.5513916015625,-0.07868955461081778,-5533.0,3063
2396,329.5513916015625,-0.07868955461081778,-5533.0,3063
2495,329.534912109375,-0.07868955461081778,-5533.0,3063
2596,329.534912109375,-0.07868955461081778,-5533.0,3063
2706,329.534912109375,-0.07868955461081778,-5533.0,3063
2795,329.534912109375,-0.07868955461081778,-5533.0,3063
2898,329.534912109375,-0.07868955461081778,-5533.0,3063
2995,329.534912109375,-0.07863276979782062,-5533.0,3063
3097,329.534912109375,-0.07863276979782062,-5533.0,3063
3196,329.534912109375,-0.07863276979782062,-5533.0,3063
3294,329.534912109375,-0.07863276979782062,-5540.0,3063
3402,329.534912109375,-0.07863276979782062,-5540.0,3063
3494,329.578857421875,-0.07863276979782062,-5540.0,3063
