Time,axis_3_raw_position_resolver_motor,axis_3_actual_position,raw_position_3_ext
107,49748.0,0.5685349393083348,2577
214,49748.0,0.5685349393083348,2577
317,49748.0,0.5685349393083348,2577
418,49748.0,0.5685349393083348,2577
518,49748.0,0.5685349393083348,2577
620,49748.0,0.5685349393083348,2577
718,49748.0,0.568443531303301,2577
817,49748.0,0.568443531303301,2577
918,49748.0,0.568443531303301,2577
1017,49739.0,0.568443531303301,2577
1123,49739.0,0.568443531303301,2577
1218,49739.0,0.568443531303301,2577
1318,49739.0,0.568443531303301,2577
1417,49739.0,0.5683406972976381,2577
1520,49739.0,0.5683406972976381,2577
1618,49739.0,0.5683406972976381,2577
1717,49750.0,0.5683406972976381,2577
1821,49750.0,0.5683406972976381,2577
1918,49750.0,0.5683406972976381,2577
2018,49750.0,0.5683406972976381,2577
2116,49750.0,0.5683521232982673,2577
2217,49750.0,0.5683521232982673,2577
2317,49750.0,0.5683521232982673,2577
2418,49758.0,0.5683521232982673,2577
2518,49758.0,0.5683521232982673,2577
2617,49758.0,0.5683521232982673,2577
2718,49758.0,0.5683521232982673,2577
2817,49758.0,0.5684892353058179,2577
2917,49758.0,0.5684892353058179,2577
3017,49758.0,0.5684892353058179,2577
3117,49739.0,0.5684892353058179,2577
3218,49739.0,0.5684892353058179,2577
3317,49739.0,0.5684892353058179,2577
3418,49739.0,0.5684892353058179,2577
3516,49739.0,0.5684892353058179,2577
3618,49739.0,0.5684892353058179,2577
3717,49739.0,0.5684892353058179,2577
3817,49745.0,0.5684892353058179,2577
3917,49745.0,0.5684892353058179,2577
4017,49745.0,0.5684892353058179,2577
4117,49745.0,0.5684892353058179,2577
4216,49745.0,0.5683864013001549,2577
4317,49745.0,0.5683864013001549,2577
4419,49745.0,0.5683864013001549,2577
4517,49752.0,0.5683864013001549,2577
4617,49752.0,0.5683864013001549,2577
4718,49752.0,0.5683864013001549,2577
4816,49752.0,0.5683864013001549,2577
4917,49752.0,0.5683864013001549,2577
5018,49752.0,0.5683864013001549,2577
5120,49752.0,0.5683864013001549,2577
5217,42588.0,0.5601139768446054,2577
5317,42588.0,0.5601139768446054,2577
5417,42588.0,0.5601139768446054,2577
5517,42588.0,0.5601139768446054,2577
5617,42588.0,0.5601139768446054,2577
5717,42588.0,-0.39796760191545677,2577
5816,42588.0,-0.39796760191545677,2577
5918,42588.0,-0.39796760191545677,2577
6017,-64514.0,-0.39796760191545677,2556
6117,-64514.0,-0.39796760191545677,2556
6217,-64514.0,-0.39796760191545677,2556
6318,-64514.0,-0.39796760191545677,2556
6417,-64514.0,-1.6347179100213725,2556
6518,-64514.0,-1.6347179100213725,2556
6617,-64514.0,-1.6347179100213725,2556
6718,-172698.0,-1.6347179100213725,2556
6817,-172698.0,-1.6347179100213725,2556
6916,-172698.0,-1.6347179100213725,2556
7016,-172698.0,-1.6347179100213725,2556
7116,-172698.0,-1.6347179100213725,2556
7218,-172698.0,-1.6347179100213725,2556
7318,-172698.0,-3.207106986610393,2556
7417,-172698.0,-3.207106986610393,2556
7517,-307565.0,-3.207106986610393,2556
7617,-307565.0,-3.207106986610393,2556
7718,-307565.0,-3.207106986610393,2556
7816,-307565.0,-3.207106986610393,2454
7917,-307565.0,-3.207106986610393,2454
8017,-413846.0,-4.386898681579686,2454
8118,-413846.0,-4.386898681579686,2454
8217,-413846.0,-4.386898681579686,2454
8317,-413846.0,-4.386898681579686,2454
8417,-413846.0,-4.386898681579686,2454
8517,-413846.0,-4.386898681579686,2454
8619,-413846.0,-4.386898681579686,2454
8717,-413846.0,-5.775820466065449,2454
8817,-413846.0,-5.775820466065449,2454
8917,-537447.0,-5.775820466065449,2454
9018,-537447.0,-5.775820466065449,2454
9116,-537447.0,-5.775820466065449,2454
9216,-537447.0,-5.775820466065449,2454
9318,-537447.0,-5.775820466065449,2454
9417,-537447.0,-7.259189571752278,2454
9517,-537447.0,-7.259189571752278,2454
9617,-667770.0,-7.259189571752278,2454
9717,-667770.0,-7.259189571752278,2454
9818,-667770.0,-7.259189571752278,2355
9917,-667770.0,-7.259189571752278,2355
10017,-667770.0,-8.53093771978547,2355
10117,-667770.0,-8.53093771978547,2355
10217,-667770.0,-8.53093771978547,2355
10317,-783107.0,-8.53093771978547,2355
10418,-783107.0,-8.53093771978547,2355
10516,-783107.0,-8.53093771978547,2355
10617,-783107.0,-8.53093771978547,2355
10716,-783107.0,-8.53093771978547,2355
10817,-783107.0,-8.53093771978547,2355
10916,-783107.0,-9.963472548672934,2355
11017,-783107.0,-9.963472548672934,2355
11118,-783107.0,-9.963472548672934,2355
11217,-899334.0,-9.963472548672934,2355
11316,-899334.0,-9.963472548672934,2355
11417,-899334.0,-9.963472548672934,2355
11518,-899334.0,-9.963472548672934,2355
11618,-899334.0,-9.963472548672934,2355
11717,-899334.0,-11.494510928984838,2253
11818,-899334.0,-11.494510928984838,2253
11917,-1032530.0,-11.494510928984838,2253
12018,-1032530.0,-11.494510928984838,2253
12117,-1032530.0,-11.494510928984838,2253
12217,-1032530.0,-11.494510928984838,2253
12317,-1032530.0,-11.494510928984838,2253
12416,-1032530.0,-12.648205638517009,2253
12518,-1032530.0,-12.648205638517009,2253
12616,-1138584.0,-12.648205638517009,2253
12716,-1138584.0,-12.648205638517009,2253
12816,-1138584.0,-12.648205638517009,2253
12918,-1138584.0,-12.648205638517009,2253
13017,-1138584.0,-12.648205638517009,2253
13117,-1138584.0,-13.978009295747228,2253
13217,-1138584.0,-13.978009295747228,2253
13316,-1253833.0,-13.978009295747228,2253
13418,-1253833.0,-13.978009295747228,2253
13517,-1253833.0,-13.978009295747228,2147
13617,-1253833.0,-13.978009295747228,2147
13717,-1253833.0,-13.978009295747228,2147
13817,-1253833.0,-15.524769852924926,2147
13918,-1253833.0,-15.524769852924926,2147
14018,-1384812.0,-15.524769852924926,2147
14121,-1384812.0,-15.524769852924926,2147
14217,-1384812.0,-15.524769852924926,2147
14318,-1384812.0,-15.524769852924926,2147
14418,-1384812.0,-15.524769852924926,2147
14518,-1384812.0,-16.69327265927256,2147
14617,-1384812.0,-16.69327265927256,2147
14717,-1493708.0,-16.69327265927256,2147
14818,-1493708.0,-16.69327265927256,2147
14917,-1493708.0,-16.69327265927256,2147
15018,-1493708.0,-16.69327265927256,2147
15117,-1493708.0,-16.69327265927256,2147
15217,-1493708.0,-16.69327265927256,2147
15318,-1493708.0,-16.69327265927256,2147
15418,-1622051.0,-18.160999570097996,2045
15517,-1622051.0,-18.160999570097996,2045
15617,-1622051.0,-18.160999570097996,2045
