Time,axis_1_raw_position_resolver_motor,axis_1_enc_position_resolver_motor,axis_1_actual_position,raw_position_1_ext
101,-11451748.0,93.6639404296875,-162.5713421676571,3313
201,-11451748.0,93.6639404296875,-162.5713421676571,3313
301,-11451748.0,93.6639404296875,-162.5713421676571,3313
401,-11451744.0,93.6639404296875,-162.5713421676571,3313
499,-11451744.0,93.6639404296875,-162.5713421676571,3313
597,-11451744.0,93.66943359375,-162.5713421676571,3313
695,-11451744.0,93.66943359375,-162.5713421676571,3313
799,-11451744.0,93.66943359375,-162.5713421676571,3313
894,-11451744.0,93.66943359375,-162.5713421676571,3313
995,-11451744.0,93.66943359375,-162.5713421676571,3313
1093,-11451744.0,93.66943359375,-162.5713421676571,3313
1195,-11451744.0,93.66943359375,-162.5713421676571,3313
1297,-11451744.0,93.66943359375,-162.5713421676571,3313
1393,-11451744.0,93.66943359375,-162.57132797145385,3313
1501,-11451744.0,93.66943359375,-162.57132797145385,3313
1600,-11451743.0,93.66943359375,-162.57132797145385,3313
1694,-11451743.0,93.66943359375,-162.57132797145385,3313
1796,-11451743.0,93.66943359375,-162.57132797145385,3313
1896,-11451743.0,93.6749267578125,-162.57132797145385,3313
1995,-11451743.0,93.6749267578125,-162.57132797145385,3313
2093,-11451743.0,93.6749267578125,-162.57132797145385,3313
2196,-11451743.0,93.6749267578125,-162.57132797145385,3313
2295,-11451743.0,93.6749267578125,-162.57132797145385,3313
2394,-11451743.0,93.6749267578125,-162.5713421676571,3313
2519,-11451743.0,93.6749267578125,-162.5713421676571,3313
2600,-11451741.0,93.6749267578125,-162.5713421676571,3313
2706,-11451741.0,93.6749267578125,-162.5713421676571,3313
2803,-11451741.0,93.71337890625,-162.5713421676571,3313
2895,-11451741.0,93.71337890625,-162.5713421676571,3313
3000,-11451741.0,93.71337890625,-162.5713421676571,3313
3095,-11451741.0,93.71337890625,-162.5713421676571,3313
3197,-11451741.0,93.71337890625,-162.5713421676571,3313
3296,-11451741.0,93.71337890625,-162.5713421676571,3313
3394,-11451741.0,93.71337890625,-162.5713421676571,3313
3495,-11451741.0,93.71337890625,-162.5713421676571,3313
3593,-11451741.0,93.71337890625,-162.5713421676571,3313
3697,-11451741.0,93.71337890625,-162.5713421676571,3313
3798,-11451750.0,93.71337890625,-162.5713421676571,3313
3894,-11451750.0,93.71337890625,-162.5713421676571,3313
3997,-11451750.0,93.71337890625,-162.5713421676571,3313
4096,-11451750.0,93.69140625,-162.5713421676571,3313
4194,-11451750.0,93.69140625,-162.5713421676571,3313
4299,-11451750.0,93.69140625,-162.5713421676571,3313
4393,-11451750.0,93.69140625,-162.5713421676571,3313
4494,-11451750.0,93.69140625,-162.5713421676571,3313
4594,-11451750.0,93.69140625,-162.5714273448766,3313
4700,-11451750.0,93.69140625,-162.5714273448766,3313
4799,-11451744.0,93.69140625,-162.5714273448766,3313
4895,-11451744.0,93.69140625,-162.5714273448766,3313
4997,-11451744.0,93.69140625,-162.5714273448766,3313
5096,-11451744.0,93.7353515625,-162.5714273448766,3313
5230,-11451744.0,93.7353515625,-162.5714273448766,3313
5299,-11451744.0,93.7353515625,-162.5714273448766,3313
5393,-11451744.0,93.7353515625,-162.5714273448766,3313
5503,-11451744.0,93.7353515625,-162.5714273448766,3313
5608,-11451744.0,93.7353515625,-162.5713705600636,3313
5693,-11451744.0,93.7353515625,-162.5713705600636,3313
5804,-11451744.0,93.7353515625,-162.5713705600636,3313
5904,-11451744.0,93.7353515625,-162.5713705600636,3313
5998,-11451744.0,93.7353515625,-162.5713705600636,3313
6096,-11451746.0,93.7353515625,-162.5713705600636,3313
6195,-11451746.0,93.7353515625,-162.5713705600636,3313
6294,-11451746.0,93.7353515625,-162.5713705600636,3313
6393,-11451746.0,93.7847900390625,-162.5713705600636,3313
6501,-11451746.0,93.7847900390625,-162.5713705600636,3313
6597,-11451746.0,93.7847900390625,-162.5713705600636,3316
6694,-11451746.0,93.7847900390625,-162.5713705600636,3316
6794,-11451746.0,93.7847900390625,-161.36148494193955,3316
6892,-11451746.0,93.7847900390625,-161.36148494193955,3316
6995,-11451746.0,93.7847900390625,-161.36148494193955,3316
7095,-11320178.0,93.7847900390625,-161.36148494193955,3316
7198,-11320178.0,93.7847900390625,-161.36148494193955,3316
7295,-11320178.0,93.7847900390625,-161.36148494193955,3316
7394,-11320178.0,60.8258056640625,-161.36148494193955,3316
7499,-11320178.0,60.8258056640625,-161.36148494193955,3316
7594,-11320178.0,60.8258056640625,-161.36148494193955,3316
7696,-11320178.0,60.8258056640625,-161.36148494193955,3316
7798,-11320178.0,60.8258056640625,-161.36148494193955,3316
7896,-11320178.0,60.8258056640625,-157.9196864451653,3316
8001,-11320178.0,60.8258056640625,-157.9196864451653,3316
8099,-11076848.0,60.8258056640625,-157.9196864451653,3316
8198,-11076848.0,60.8258056640625,-157.9196864451653,3316
8296,-11076848.0,60.8258056640625,-157.9196864451653,3316
