Time,axis_2_raw_position_resolver_motor,axis_2_enc_position_resolver_motor,axis_2_actual_position,raw_position_2_ext
109,-10412707.0,41.3031005859375,-147.8209191435142,3898
213,-10412707.0,41.3031005859375,-147.8209759283272,3898
319,-10412707.0,41.3031005859375,-147.8209759283272,3898
423,-10412710.0,41.3031005859375,-147.8209759283272,3898
525,-10412710.0,41.3031005859375,-147.8209759283272,3898
626,-10412710.0,41.3360595703125,-147.8209759283272,3898
730,-10412710.0,41.3360595703125,-147.8209759283272,3898
826,-10412710.0,41.3360595703125,-147.8209759283272,3898
927,-10412710.0,41.3360595703125,-147.8209759283272,3898
1026,-10412710.0,41.3360595703125,-147.8209759283272,3898
1126,-10412710.0,41.3360595703125,-147.8209759283272,3898
1226,-10412710.0,41.3360595703125,-147.8209759283272,3898
1331,-10412706.0,41.3360595703125,-147.8208907511077,3898
1434,-10412706.0,41.3360595703125,-147.8208907511077,3898
1527,-10412706.0,41.3360595703125,-147.8208907511077,3898
1625,-10412706.0,41.297607421875,-147.8208907511077,3898
1725,-10412706.0,41.297607421875,-147.8208907511077,3898
1826,-10412706.0,41.297607421875,-147.8208907511077,3898
1926,-10412706.0,41.297607421875,-147.8208907511077,3898
2026,-10412706.0,41.297607421875,-147.8208907511077,3898
2126,-10412706.0,41.297607421875,-147.82096173212395,3898
2225,-10412706.0,41.297607421875,-147.82096173212395,3898
2326,-10412710.0,41.297607421875,-147.82096173212395,3898
2427,-10412710.0,41.297607421875,-147.82096173212395,3898
2525,-10412710.0,41.297607421875,-147.82096173212395,3898
2626,-10412710.0,41.297607421875,-147.82096173212395,3898
2726,-10412710.0,41.297607421875,-147.82096173212395,3898
2826,-10412710.0,41.2811279296875,-147.82096173212395,3898
2926,-10412710.0,41.2811279296875,-147.82096173212395,3898
3026,-10412710.0,41.2811279296875,-147.82096173212395,3898
3126,-10412710.0,41.2811279296875,-147.82096173212395,3898
3226,-10412710.0,41.2811279296875,-147.82090494731096,3898
3327,-10412710.0,41.2811279296875,-147.82090494731096,3898
3426,-10412707.0,41.2811279296875,-147.82090494731096,3898
3526,-10412707.0,41.2811279296875,-147.82090494731096,3898
3626,-10412707.0,41.2811279296875,-147.82090494731096,3898
3725,-10412707.0,41.3031005859375,-147.82090494731096,3898
3827,-10412707.0,41.3031005859375,-147.82090494731096,3898
3925,-10412707.0,41.3031005859375,-147.82090494731096,3898
4025,-10412707.0,41.3031005859375,-147.82090494731096,3898
4125,-10412707.0,41.3031005859375,-147.82090494731096,3898
4226,-10412707.0,41.3031005859375,-147.82090494731096,3898
4325,-10412708.0,41.3031005859375,-147.8208055738882,3898
4428,-10412708.0,41.3031005859375,-147.8208055738882,3898
4526,-10412708.0,41.3031005859375,-147.8208055738882,3898
4625,-10412708.0,41.33056640625,-147.8208055738882,3898
4726,-10412708.0,41.33056640625,-147.8208055738882,3898
4825,-10412708.0,41.33056640625,-147.8208055738882,3898
4926,-10412708.0,41.33056640625,-147.8208055738882,3898
5025,-10412708.0,41.33056640625,-147.8208055738882,3898
5125,-10412708.0,41.33056640625,-147.8208055738882,3898
5225,-10412708.0,41.33056640625,-147.8208907511077,3898
5327,-10412708.0,41.33056640625,-147.8208907511077,3898
5426,-10412708.0,41.33056640625,-147.8208907511077,3898
5525,-10412701.0,41.33056640625,-147.8208907511077,3898
5625,-10412701.0,41.33056640625,-147.8208907511077,3898
5725,-10412701.0,41.28662109375,-147.8208907511077,3898
5826,-10412701.0,41.28662109375,-147.8208907511077,3898
5925,-10412701.0,41.28662109375,-147.8208907511077,3898
6026,-10412701.0,41.28662109375,-147.8208907511077,3898
6126,-10412701.0,41.28662109375,-147.8208907511077,3898
6226,-10412701.0,41.28662109375,-147.8208907511077,3898
6325,-10412701.0,41.28662109375,-147.8208907511077,3898
6425,-10412701.0,41.28662109375,-147.82084816249795,3898
6527,-10412701.0,41.28662109375,-147.82084816249795,3898
6626,-10412709.0,41.28662109375,-147.82084816249795,3898
6726,-10412709.0,41.28662109375,-147.82084816249795,3898
6825,-10412709.0,41.3140869140625,-147.82084816249795,3898
6927,-10412709.0,41.3140869140625,-147.82084816249795,3898
7026,-10412709.0,41.3140869140625,-147.82084816249795,3898
7126,-10412709.0,41.3140869140625,-147.82084816249795,3898
7225,-10412709.0,41.3140869140625,-147.8208907511077,3898
7325,-10412709.0,41.3140869140625,-147.8208907511077,3898
7439,-10412709.0,41.3140869140625,-147.8208907511077,3898
7525,-10412707.0,41.3140869140625,-147.8208907511077,3898
7626,-10412707.0,41.3140869140625,-147.8208907511077,3898
7725,-10412707.0,41.2701416015625,-147.8208907511077,3898
7825,-10412707.0,41.2701416015625,-147.8208907511077,3898
7926,-10412707.0,41.2701416015625,-147.8208907511077,3898
8026,-10412707.0,41.2701416015625,-147.8208907511077,3898
8126,-10412707.0,41.2701416015625,-147.8208907511077,3898
8226,-10412707.0,41.2701416015625,-147.8208907511077,3898
