Time,axis_1_raw_position_resolver_motor,raw_position_1_ext,axis_1_actual_position
102,8789.0,2852,0.12467105693527003
192,8789.0,2852,0.12467105693527003
294,8789.0,2852,0.12467105693527003
386,8789.0,2852,0.12467105693527003
485,8789.0,2852,0.12467105693527003
587,8789.0,2852,0.12467105693527003
686,8789.0,2852,0.12467105693527003
793,8789.0,2852,0.12467105693527003
878,8789.0,2852,0.12479882276451365
982,8789.0,2852,0.12479882276451365
1081,8789.0,2852,0.12479882276451365
1182,8789.0,2852,0.12479882276451365
1282,8789.0,2852,0.12479882276451365
1384,8789.0,2852,0.12479882276451365
1492,8789.0,2852,0.12479882276451365
1580,8789.0,2852,0.12479882276451365
1683,8789.0,2852,0.12479882276451365
1778,8786.0,2852,0.12479882276451365
1883,8786.0,2852,0.12479882276451365
1982,8786.0,2852,0.12479882276451365
2080,8786.0,2852,0.12472784174826719
2184,8786.0,2852,0.12472784174826719
2284,8786.0,2852,0.12472784174826719
2383,8786.0,2852,0.12472784174826719
2478,8786.0,2852,0.12472784174826719
2581,8786.0,2852,0.12472784174826719
2683,8786.0,2852,0.12472784174826719
2781,8786.0,2852,0.12472784174826719
2881,8786.0,2852,0.12472784174826719
2981,8786.0,2852,0.12478462656126435
3081,8786.0,2852,0.12478462656126435
3184,8789.0,2852,0.12478462656126435
3282,8789.0,2852,0.12478462656126435
3381,8789.0,2852,0.12478462656126435
3479,8789.0,2852,0.12478462656126435
3580,8789.0,2852,0.12478462656126435
3679,8789.0,2852,0.1247136455450179
3785,8789.0,2852,0.1247136455450179
3880,8790.0,2852,0.1247136455450179
3982,8790.0,2852,0.1247136455450179
4082,8790.0,2852,0.1247136455450179
4181,8790.0,2852,0.1247136455450179
4284,8790.0,2852,0.1247136455450179
4383,8784.0,2852,0.1247136455450179
4482,8784.0,2852,0.1247136455450179
4582,8784.0,2852,0.1247136455450179
4681,8784.0,2852,0.1247136455450179
4780,8784.0,2852,0.1247136455450179
4897,8784.0,2852,0.1247136455450179
4982,8784.0,2852,0.1247136455450179
5079,8784.0,2852,0.12474203795151648
5185,8784.0,2852,0.12474203795151648
5291,8784.0,2852,0.12474203795151648
5381,8788.0,2852,0.12474203795151648
5478,8788.0,2852,0.12474203795151648
5579,8788.0,2852,0.12474203795151648
5680,8788.0,2852,0.12474203795151648
5788,8788.0,2852,0.12474203795151648
5883,8788.0,2852,0.12474203795151648
5982,8788.0,2852,0.12474203795151648
6079,-39218.0,2852,-0.18247799656638133
6183,-39218.0,2852,-0.18247799656638133
6282,-39218.0,2852,-0.18247799656638133
6381,-39218.0,2852,-0.18247799656638133
6489,-39218.0,2852,-0.18247799656638133
6581,-39218.0,2852,-1.701400763224229
6689,-39218.0,2852,-1.701400763224229
6787,-152933.0,2852,-1.701400763224229
6881,-152933.0,2852,-1.701400763224229
6986,-152933.0,2852,-1.701400763224229
7080,-152933.0,2852,-1.701400763224229
7181,-152933.0,2852,-1.701400763224229
7280,-152933.0,2852,-3.485622176204819
7382,-152933.0,2852,-3.485622176204819
7478,-280182.0,2815,-3.485622176204819
7582,-280182.0,2815,-3.485622176204819
7682,-280182.0,2815,-3.485622176204819
7779,-280182.0,2815,-3.485622176204819
7888,-280182.0,2815,-3.485622176204819
7979,-280182.0,2815,-3.485622176204819
8085,-280182.0,2815,-3.485622176204819
8178,-280182.0,2815,-5.36328299897224
8283,-280182.0,2815,-5.36328299897224
8381,-280182.0,2815,-5.36328299897224
8480,-403810.0,2815,-5.36328299897224
8580,-403810.0,2815,-5.36328299897224
8678,-403810.0,2815,-5.36328299897224
8782,-403810.0,2815,-5.36328299897224
8880,-508423.0,2815,-6.862799555788307
8981,-508423.0,2815,-6.862799555788307
9080,-508423.0,2815,-6.862799555788307
9179,-508423.0,2815,-6.862799555788307
9285,-508423.0,2815,-6.862799555788307
9379,-508423.0,2815,-6.862799555788307
9480,-508423.0,2815,-6.862799555788307
9579,-508423.0,2769,-8.382574094641113
9681,-508423.0,2769,-8.382574094641113
9783,-508423.0,2769,-8.382574094641113
9880,-633890.0,2769,-8.382574094641113
9983,-633890.0,2769,-8.382574094641113
10079,-633890.0,2769,-8.382574094641113
10186,-633890.0,2769,-8.382574094641113
10281,-633890.0,2769,-10.33154244632972
10382,-633890.0,2769,-10.33154244632972
10483,-633890.0,2769,-10.33154244632972
10581,-752391.0,2769,-10.33154244632972
10686,-752391.0,2769,-10.33154244632972
10778,-752391.0,2769,-10.33154244632972
10880,-752391.0,2769,-10.33154244632972
10981,-752391.0,2769,-10.33154244632972
11079,-752391.0,2769,-11.877196663705982
11184,-752391.0,2769,-11.877196663705982
11280,-864400.0,2769,-11.877196663705982
11382,-864400.0,2769,-11.877196663705982
11479,-864400.0,2723,-11.877196663705982
11578,-864400.0,2723,-11.877196663705982
11684,-864400.0,2723,-13.597109275967286
11781,-864400.0,2723,-13.597109275967286
11884,-864400.0,2723,-13.597109275967286
11979,-990143.0,2723,-13.597109275967286
12080,-990143.0,2723,-13.597109275967286
12179,-990143.0,2723,-13.597109275967286
12281,-990143.0,2723,-13.597109275967286
12384,-990143.0,2723,-13.597109275967286
12479,-990143.0,2723,-15.299816089890449
12580,-990143.0,2723,-15.299816089890449
12679,-1102592.0,2723,-15.299816089890449
12783,-1102592.0,2723,-15.299816089890449
12880,-1102592.0,2723,-15.299816089890449
12982,-1102592.0,2723,-15.299816089890449
13079,-1102592.0,2723,-15.299816089890449
13182,-1205653.0,2723,-16.770145252825973
13281,-1205653.0,2723,-16.770145252825973
13380,-1205653.0,2723,-16.770145252825973
