Time,axis_3_raw_position_resolver_motor,axis_3_actual_position,axis_3_enc_position_resolver_motor,raw_position_3_ext
113,-5725185.0,-65.41593313435368,230.635986328125,2773
251,-5725185.0,-65.41593313435368,230.635986328125,2773
299,-5725185.0,-65.41593313435368,230.635986328125,2773
408,-5725185.0,-65.41593313435368,230.635986328125,2773
499,-5725181.0,-65.41587600435054,230.635986328125,2773
598,-5725181.0,-65.41587600435054,230.635986328125,2773
698,-5725181.0,-65.41587600435054,230.6689453125,2773
796,-5725181.0,-65.41587600435054,230.6689453125,2773
897,-5725181.0,-65.41587600435054,230.6689453125,2773
996,-5725181.0,-65.41587600435054,230.6689453125,2773
1098,-5725181.0,-65.41587600435054,230.6689453125,2773
1197,-5725181.0,-65.41587600435054,230.6689453125,2773
1296,-5725181.0,-65.41587600435054,230.6689453125,2773
1396,-5725181.0,-65.41589885635179,230.6689453125,2773
1496,-5725181.0,-65.41589885635179,230.6689453125,2773
1597,-5725173.0,-65.41589885635179,230.64697265625,2773
1696,-5725173.0,-65.41589885635179,230.64697265625,2773
1819,-5725173.0,-65.41589885635179,230.64697265625,2773
1897,-5725173.0,-65.41589885635179,230.64697265625,2773
2000,-5725173.0,-65.41589885635179,230.64697265625,2773
2102,-5725173.0,-65.41589885635179,230.64697265625,2773
2198,-5725173.0,-65.41589885635179,230.64697265625,2773
2302,-5725173.0,-65.41589885635179,230.64697265625,2773
2398,-5725173.0,-65.41601311635809,230.64697265625,2773
2498,-5725173.0,-65.41601311635809,230.64697265625,2773
2596,-5725184.0,-65.41601311635809,230.6689453125,2773
2697,-5725184.0,-65.41601311635809,230.6689453125,2773
2796,-5725184.0,-65.41601311635809,230.6689453125,2773
2899,-5725184.0,-65.41601311635809,230.6689453125,2773
2997,-5725184.0,-65.41601311635809,230.6689453125,2773
3097,-5725184.0,-65.41601311635809,230.6689453125,2773
3202,-5725184.0,-65.41601311635809,230.6689453125,2773
3297,-5725184.0,-65.41588743035116,230.6689453125,2773
3396,-5725184.0,-65.41588743035116,230.6689453125,2773
3495,-5725152.0,-65.41588743035116,230.6689453125,2773
3599,-5725152.0,-65.41588743035116,230.6689453125,2773
3695,-5725152.0,-65.41588743035116,233.4100341796875,2773
3800,-5725152.0,-65.41588743035116,233.4100341796875,2773
3899,-5725152.0,-65.41588743035116,233.4100341796875,2774
3993,-5725152.0,-65.41588743035116,233.4100341796875,2774
4096,-5725152.0,-65.41588743035116,233.4100341796875,2774
4194,-5725152.0,-65.41588743035116,233.4100341796875,2774
4300,-5725152.0,-65.41588743035116,233.4100341796875,2774
4399,-5725152.0,-64.55728061306903,233.4100341796875,2774
4497,-5725152.0,-64.55728061306903,233.4100341796875,2774
4596,-5605195.0,-64.55728061306903,233.4100341796875,2774
4702,-5605195.0,-64.55728061306903,233.4100341796875,2774
4796,-5605195.0,-64.55728061306903,348.0908203125,2774
4896,-5605195.0,-64.55728061306903,348.0908203125,2774
4997,-5605195.0,-64.55728061306903,348.0908203125,2774
5108,-5605195.0,-64.55728061306903,348.0908203125,2774
5213,-5605195.0,-64.55728061306903,348.0908203125,2774
5295,-5605195.0,-62.58020544619457,348.0908203125,2774
5399,-5605195.0,-62.58020544619457,348.0908203125,2774
5497,-5445225.0,-62.58020544619457,348.0908203125,2774
5599,-5445225.0,-62.58020544619457,348.0908203125,2774
5702,-5445225.0,-62.58020544619457,348.0908203125,2774
5794,-5445225.0,-62.58020544619457,230.218505859375,2867
5896,-5445225.0,-62.58020544619457,230.218505859375,2867
5997,-5445225.0,-62.58020544619457,230.218505859375,2867
6097,-5445225.0,-62.58020544619457,230.218505859375,2867
6196,-5445225.0,-62.58020544619457,230.218505859375,2867
6298,-5445225.0,-62.58020544619457,230.218505859375,2867
6396,-5445225.0,-60.61725281609782,230.218505859375,2867
6511,-5445225.0,-60.61725281609782,230.218505859375,2867
6601,-5276248.0,-60.61725281609782,230.218505859375,2867
6697,-5276248.0,-60.61725281609782,230.218505859375,2867
6796,-5276248.0,-60.61725281609782,230.218505859375,2867
6896,-5276248.0,-60.61725281609782,17.314453125,2867
6998,-5276248.0,-60.61725281609782,17.314453125,2867
7096,-5276248.0,-60.61725281609782,17.314453125,2867
7199,-5276248.0,-60.61725281609782,17.314453125,2867
7296,-5276248.0,-60.61725281609782,17.314453125,2867
7396,-5276248.0,-60.61725281609782,17.314453125,2867
7496,-5276248.0,-58.62257018225375,17.314453125,2867
7598,-5276248.0,-58.62257018225375,17.314453125,2867
7696,-5104299.0,-58.62257018225375,196.28173828125,2967
7796,-5104299.0,-58.62257018225375,196.28173828125,2967
7898,-5104299.0,-58.62257018225375,196.28173828125,2967
7995,-5104299.0,-58.62257018225375,196.28173828125,2967
8097,-5104299.0,-58.62257018225375,196.28173828125,2967
8195,-5104299.0,-58.62257018225375,196.28173828125,2967
8295,-5104299.0,-58.62257018225375,196.28173828125,2967
8395,-5104299.0,-56.90096896344785,196.28173828125,2967
8498,-5104299.0,-56.90096896344785,196.28173828125,2967
8596,-4939998.0,-56.90096896344785,196.28173828125,2967
8697,-4939998.0,-56.90096896344785,196.28173828125,2967
8798,-4939998.0,-56.90096896344785,196.28173828125,2967
8895,-4939998.0,-56.90096896344785,104.820556640625,2967
8997,-4939998.0,-56.90096896344785,104.820556640625,2967
9095,-4939998.0,-56.90096896344785,104.820556640625,2967
9197,-4939998.0,-56.90096896344785,104.820556640625,2967
9295,-4939998.0,-56.90096896344785,104.820556640625,2967
9395,-4939998.0,-56.90096896344785,104.820556640625,2967
9495,-4939998.0,-54.87588174192945,104.820556640625,3063
9599,-4939998.0,-54.87588174192945,104.820556640625,3063
