Time,axis_3_raw_position_resolver_motor,axis_3_actual_position,axis_3_enc_position_resolver_motor,raw_position_3_ext
108,6136374.0,70.11419033307939,228.1475830078125,2584
213,6136374.0,70.11419033307939,228.1475830078125,2584
318,6136384.0,70.11419033307939,228.1475830078125,2584
422,6136384.0,70.11419033307939,228.1475830078125,2584
528,6136384.0,70.11419033307939,228.1475830078125,2584
633,6136384.0,70.11419033307939,228.1475830078125,2584
738,6136384.0,70.11419033307939,228.1475830078125,2584
842,6136384.0,70.11419033307939,228.1475830078125,2584
948,6136384.0,70.11419033307939,228.1475830078125,2584
1046,6136384.0,70.11432744508694,228.1475830078125,2584
1147,6136384.0,70.11432744508694,228.1475830078125,2584
1246,6136372.0,70.11432744508694,228.1475830078125,2584
1346,6136372.0,70.11432744508694,228.1475830078125,2584
1447,6136372.0,70.11432744508694,228.1475830078125,2584
1547,6136372.0,70.11432744508694,228.1585693359375,2584
1672,6136372.0,70.11432744508694,228.1585693359375,2584
1747,6136372.0,70.11432744508694,228.1585693359375,2584
1847,6136372.0,70.11432744508694,228.1585693359375,2584
1949,6136372.0,70.11421318508066,228.1585693359375,2584
2047,6136372.0,70.11421318508066,228.1585693359375,2584
2147,6136372.0,70.11421318508066,228.1585693359375,2584
2246,6136387.0,70.11421318508066,228.1585693359375,2584
2347,6136387.0,70.11421318508066,228.1585693359375,2584
2447,6136387.0,70.11421318508066,228.153076171875,2584
2547,6136387.0,70.11421318508066,228.153076171875,2584
2652,6136387.0,70.11421318508066,228.153076171875,2584
2747,6136387.0,70.11421318508066,228.153076171875,2584
2846,6136387.0,70.11433887108758,228.153076171875,2584
2947,6136387.0,70.11433887108758,228.153076171875,2584
3046,6136387.0,70.11433887108758,228.153076171875,2584
3178,6136363.0,70.11433887108758,228.153076171875,2584
3246,6136363.0,70.11433887108758,228.153076171875,2584
3347,6136363.0,70.11433887108758,226.2689208984375,2584
3446,6136363.0,70.11433887108758,226.2689208984375,2584
3546,6136363.0,70.11433887108758,226.2689208984375,2584
3646,6136363.0,70.11433887108758,226.2689208984375,2584
3747,6136363.0,69.57364909531263,226.2689208984375,2584
3848,6136363.0,69.57364909531263,226.2689208984375,2584
3951,6136363.0,69.57364909531263,226.2689208984375,2584
4046,6060107.0,69.57364909531263,226.2689208984375,2584
4148,6060107.0,69.57364909531263,226.2689208984375,2584
4248,6060107.0,69.57364909531263,31.6021728515625,2584
4348,6060107.0,69.57364909531263,31.6021728515625,2584
4447,6060107.0,69.57364909531263,31.6021728515625,2584
4546,6060107.0,69.57364909531263,31.6021728515625,2584
4647,6060107.0,69.57364909531263,31.6021728515625,2584
4747,6060107.0,68.04912353535939,31.6021728515625,2584
4848,6060107.0,68.04912353535939,31.6021728515625,2584
4947,5928186.0,68.04912353535939,36.309814453125,2520
5048,5928186.0,68.04912353535939,36.309814453125,2520
5146,5928186.0,68.04912353535939,36.309814453125,2520
5247,5928186.0,68.04912353535939,36.309814453125,2520
5346,5928186.0,68.04912353535939,36.309814453125,2520
5447,5928186.0,68.04912353535939,36.309814453125,2520
5547,5928186.0,66.3897254639789,36.309814453125,2520
5648,5928186.0,66.3897254639789,36.309814453125,2520
5748,5928186.0,66.3897254639789,36.309814453125,2520
5847,5772175.0,66.3897254639789,36.309814453125,2520
5946,5772175.0,66.3897254639789,36.309814453125,2520
6047,5772175.0,66.3897254639789,212.5909423828125,2520
6148,5772175.0,66.3897254639789,212.5909423828125,2520
6247,5772175.0,66.3897254639789,212.5909423828125,2520
6347,5772175.0,66.3897254639789,212.5909423828125,2520
6446,5772175.0,64.61159982006029,212.5909423828125,2520
6547,5772175.0,64.61159982006029,212.5909423828125,2520
6647,5772175.0,64.61159982006029,212.5909423828125,2520
6747,5627427.0,64.61159982006029,212.5909423828125,2426
6846,5627427.0,64.61159982006029,212.5909423828125,2426
6946,5627427.0,64.61159982006029,151.1773681640625,2426
7046,5627427.0,64.61159982006029,151.1773681640625,2426
7147,5627427.0,64.61159982006029,151.1773681640625,2426
7248,5627427.0,64.61159982006029,151.1773681640625,2426
7347,5627427.0,63.02805896685717,151.1773681640625,2426
7447,5627427.0,63.02805896685717,151.1773681640625,2426
7549,5627427.0,63.02805896685717,151.1773681640625,2426
7646,5490439.0,63.02805896685717,94.515380859375,2426
7746,5490439.0,63.02805896685717,94.515380859375,2426
7846,5490439.0,63.02805896685717,94.515380859375,2426
7947,5490439.0,63.02805896685717,94.515380859375,2426
8047,5490439.0,63.02805896685717,94.515380859375,2426
8147,5490439.0,63.02805896685717,94.515380859375,2426
8247,5490439.0,63.02805896685717,94.515380859375,2426
8346,5490439.0,61.396883117030846,94.515380859375,2426
8446,5490439.0,61.396883117030846,94.515380859375,2426
8546,5342915.0,61.396883117030846,9.7064208984375,2328
8647,5342915.0,61.396883117030846,9.7064208984375,2328
8746,5342915.0,61.396883117030846,9.7064208984375,2328
8847,5342915.0,61.396883117030846,9.7064208984375,2328
8947,5342915.0,61.396883117030846,9.7064208984375,2328
9047,5342915.0,61.396883117030846,9.7064208984375,2328
9148,5342915.0,61.396883117030846,9.7064208984375,2328
9248,5342915.0,59.688981672979374,9.7064208984375,2328
9347,5342915.0,59.688981672979374,9.7064208984375,2328
9447,5194692.0,59.688981672979374,268.8299560546875,2328
9547,5194692.0,59.688981672979374,268.8299560546875,2328
9647,5194692.0,59.688981672979374,268.8299560546875,2328
9747,5194692.0,59.688981672979374,268.8299560546875,2328
9847,5194692.0,59.688981672979374,268.8299560546875,2328
9946,5194692.0,58.06219340739467,268.8299560546875,2328
