Time,axis_3_actual_position,axis_3_raw_position_resolver_motor,raw_position_3_ext
109,0.005575888307055496,497.0,2980
215,0.005575888307055496,497.0,2980
319,0.005575888307055496,497.0,2980
423,0.005575888307055496,497.0,2980
531,0.005575888307055496,497.0,2980
635,0.005575888307055496,497.0,2980
740,0.005530184304538647,490.0,2980
844,0.005530184304538647,490.0,2980
949,0.005530184304538647,490.0,2980
1053,0.005530184304538647,490.0,2980
1148,0.005530184304538647,490.0,2980
1249,0.005530184304538647,490.0,2980
1348,0.005587314307684708,490.0,2980
1449,0.005587314307684708,490.0,2980
1549,0.005587314307684708,491.0,2980
1649,0.005587314307684708,491.0,2980
1755,0.005587314307684708,491.0,2980
1849,0.005587314307684708,491.0,2980
1948,0.005587314307684708,491.0,2980
2049,0.005473054301392587,491.0,2980
2150,0.005473054301392587,491.0,2980
2251,0.005473054301392587,491.0,2980
2349,0.005473054301392587,482.0,2980
2449,0.005473054301392587,482.0,2980
2548,0.005473054301392587,482.0,2980
2650,0.005473054301392587,482.0,2980
2749,0.005473054301392587,482.0,2980
2849,0.005587314307684708,488.0,2980
2948,0.005587314307684708,488.0,2980
3049,0.005587314307684708,488.0,2980
3149,0.005587314307684708,488.0,2980
3249,0.005667296312089193,488.0,2980
3352,0.005667296312089193,488.0,2980
3449,0.005667296312089193,488.0,2980
3549,0.005667296312089193,488.0,2980
3649,0.005667296312089193,488.0,2980
3749,0.005667296312089193,488.0,2980
3849,0.005667296312089193,488.0,2980
3949,0.005667296312089193,488.0,2980
4049,0.005667296312089193,488.0,2980
4148,0.00559874030831392,488.0,2980
4251,0.00559874030831392,488.0,2980
4351,0.00559874030831392,481.0,2980
4449,0.00559874030831392,481.0,2980
4549,0.00559874030831392,481.0,2980
4649,0.00559874030831392,481.0,2980
4749,0.00559874030831392,481.0,2980
4848,0.0056444443108307684,494.0,2980
4949,0.0056444443108307684,494.0,2980
5049,0.0056444443108307684,494.0,2980
5149,0.0056444443108307684,494.0,2980
5248,0.0056444443108307684,494.0,2980
5348,0.0056444443108307684,494.0,2980
5449,0.0056444443108307684,494.0,2980
5549,0.0056444443108307684,494.0,2980
5648,0.008478092466875364,494.0,2980
5748,0.008478092466875364,494.0,2980
5849,0.008478092466875364,772.0,2984
5949,0.008478092466875364,772.0,2984
6049,0.008478092466875364,772.0,2984
6150,0.008478092466875364,772.0,2984
6249,0.008478092466875364,772.0,2984
6349,0.9956045648263947,772.0,2984
6449,0.9956045648263947,772.0,2984
6549,0.9956045648263947,115119.0,2984
6649,0.9956045648263947,115119.0,2984
6748,0.9956045648263947,115119.0,2984
6850,0.9956045648263947,115119.0,2984
6950,0.9956045648263947,115119.0,2984
7049,2.220951724304357,115119.0,2984
7149,2.220951724304357,115119.0,2984
7249,2.220951724304357,221694.0,2984
7349,2.220951724304357,221694.0,2984
7449,2.220951724304357,221694.0,2984
7550,2.220951724304357,221694.0,2984
7649,2.220951724304357,221694.0,3074
7749,2.220951724304357,221694.0,3074
7850,3.6376158383178456,345823.0,3074
7948,3.6376158383178456,345823.0,3074
8050,3.6376158383178456,345823.0,3074
8149,3.6376158383178456,345823.0,3074
8249,3.6376158383178456,345823.0,3074
8349,3.6376158383178456,345823.0,3074
8449,3.6376158383178456,345823.0,3074
8549,4.997058541180241,345823.0,3074
8649,4.997058541180241,345823.0,3074
8749,4.997058541180241,345823.0,3074
8848,4.997058541180241,469422.0,3074
8949,4.997058541180241,469422.0,3074
9047,4.997058541180241,469422.0,3074
9149,4.997058541180241,469422.0,3074
9249,6.282803539984218,572331.0,3074
9350,6.282803539984218,572331.0,3074
9449,6.282803539984218,572331.0,3074
9548,6.282803539984218,572331.0,3074
9648,6.282803539984218,572331.0,3074
9748,6.282803539984218,572331.0,3180
9849,6.282803539984218,572331.0,3180
9949,7.576660999234935,572331.0,3180
10049,7.576660999234935,572331.0,3180
10149,7.576660999234935,690453.0,3180
10248,7.576660999234935,690453.0,3180
10348,7.576660999234935,690453.0,3180
10450,7.576660999234935,690453.0,3180
10549,7.576660999234935,690453.0,3180
10650,9.05239753650145,690453.0,3180
10748,9.05239753650145,690453.0,3180
10848,9.05239753650145,825237.0,3180
10949,9.05239753650145,825237.0,3180
11049,9.05239753650145,825237.0,3180
11149,9.05239753650145,825237.0,3180
11249,9.05239753650145,825237.0,3180
11349,10.308160709654375,825237.0,3180
11450,10.308160709654375,825237.0,3180
11550,10.308160709654375,926950.0,3284
11650,10.308160709654375,926950.0,3284
11749,10.308160709654375,926950.0,3284
11849,10.308160709654375,926950.0,3284
11949,11.62656121825664,926950.0,3284
12049,11.62656121825664,926950.0,3284
12153,11.62656121825664,926950.0,3284
12249,11.62656121825664,1045843.0,3284
12348,11.62656121825664,1045843.0,3284
12450,11.62656121825664,1045843.0,3284
12549,11.62656121825664,1045843.0,3284
12648,11.62656121825664,1045843.0,3284
12749,11.62656121825664,1045843.0,3284
12849,11.62656121825664,1045843.0,3284
12948,12.99232249946699,1168190.0,3284
13049,12.99232249946699,1168190.0,3284
13148,12.99232249946699,1168190.0,3284
13249,12.99232249946699,1168190.0,3284
13348,12.99232249946699,1168190.0,3387
13449,12.99232249946699,1168190.0,3387
13548,14.300165383487863,1276815.0,3387
13650,14.300165383487863,1276815.0,3387
13751,14.300165383487863,1276815.0,3387
13848,14.300165383487863,1276815.0,3387
13949,14.300165383487863,1276815.0,3387
14048,14.300165383487863,1276815.0,3387
14149,14.300165383487863,1276815.0,3387
14248,15.569262699375079,1391960.0,3387
14350,15.569262699375079,1391960.0,3387
14449,15.569262699375079,1391960.0,3387
14549,15.569262699375079,1391960.0,3387
14649,15.569262699375079,1391960.0,3387
14749,15.569262699375079,1391960.0,3387
14849,15.569262699375079,1391960.0,3387
14948,16.9605153879892,1506934.0,3387
15049,16.9605153879892,1506934.0,3387
15149,16.9605153879892,1506934.0,3387
15248,16.9605153879892,1506934.0,3387
15349,16.9605153879892,1506934.0,3387
15449,16.9605153879892,1506934.0,3492
15549,16.9605153879892,1506934.0,3492
15649,18.139827190932067,1616423.0,3492
15750,18.139827190932067,1616423.0,3492
15848,18.139827190932067,1616423.0,3492
15949,18.139827190932067,1616423.0,3492
16048,18.139827190932067,1616423.0,3492
16150,18.139827190932067,1616423.0,3492
16249,18.139827190932067,1616423.0,3492
16349,19.493008445449654,1616423.0,3492
16449,19.493008445449654,1616423.0,3492
16549,19.493008445449654,1740711.0,3492
16650,19.493008445449654,1740711.0,3492
16748,19.493008445449654,1740711.0,3492
16849,19.493008445449654,1740711.0,3492
16949,19.493008445449654,1740711.0,3492
17049,21.04692167902124,1740711.0,3492
17149,21.04692167902124,1740711.0,3492
17249,21.04692167902124,1874139.0,3598
