Time,axis_1_actual_position,axis_1_raw_position_resolver_motor,raw_position_1_ext
108,-0.09233210593338605,-6510.0,3309
210,-0.09233210593338605,-6510.0,3309
310,-0.09233210593338605,-6510.0,3309
415,-0.09233210593338605,-6510.0,3309
509,-0.09248826416912824,-6510.0,3309
610,-0.09248826416912824,-6510.0,3309
710,-0.09248826416912824,-6510.0,3309
809,-0.09248826416912824,-6522.0,3309
910,-0.09248826416912824,-6522.0,3309
1009,-0.09248826416912824,-6522.0,3309
1110,-0.09248826416912824,-6522.0,3309
1213,-0.0924030869496325,-6522.0,3309
1312,-0.0924030869496325,-6522.0,3309
1410,-0.0924030869496325,-6522.0,3309
1509,-0.0924030869496325,-6514.0,3309
1611,-0.0924030869496325,-6514.0,3309
1710,-0.0924030869496325,-6514.0,3309
1810,-0.0924030869496325,-6514.0,3309
1910,-0.09236049833988463,-6514.0,3309
2010,-0.09236049833988463,-6514.0,3309
2110,-0.09236049833988463,-6514.0,3309
2209,-0.09236049833988463,-6514.0,3309
2310,-0.09236049833988463,-6514.0,3309
2411,-0.09236049833988463,-6514.0,3309
2510,-0.09236049833988463,-6514.0,3309
2612,-0.09236049833988463,-6514.0,3309
2710,-0.0924172831528818,-6514.0,3309
2810,-0.0924172831528818,-6514.0,3309
2910,-0.0924172831528818,-6501.0,3309
3010,-0.0924172831528818,-6501.0,3309
3110,-0.0924172831528818,-6501.0,3309
3211,-0.0924172831528818,-6501.0,3309
3310,-0.09247406796587895,-6501.0,3309
3412,-0.09247406796587895,-6501.0,3309
3509,-0.09247406796587895,-6501.0,3309
3610,-0.09247406796587895,-6521.0,3309
3711,-0.09247406796587895,-6521.0,3309
3810,-0.09247406796587895,-6521.0,3309
3911,-0.09247406796587895,-6521.0,3309
4017,-0.09247406796587895,-6521.0,3309
4110,-0.0924030869496325,-6521.0,3309
4211,-0.0924030869496325,-6521.0,3309
4309,-0.0924030869496325,-6517.0,3309
4410,-0.0924030869496325,-6517.0,3309
4511,-0.0924030869496325,-6517.0,3309
4610,-0.0924030869496325,-6517.0,3309
4711,-0.0924030869496325,-6517.0,3309
4811,-0.09182104261641158,-6517.0,3309
4910,-0.09182104261641158,-6517.0,3309
5010,-0.09182104261641158,-6517.0,3309
5111,-0.09182104261641158,10912.0,3309
5209,-0.09182104261641158,10912.0,3309
5310,-0.09182104261641158,10912.0,3309
5409,-0.09182104261641158,10912.0,3309
5509,1.3833490256271224,10912.0,3321
5610,1.3833490256271224,10912.0,3321
5709,1.3833490256271224,10912.0,3321
5810,1.3833490256271224,129129.0,3321
5910,1.3833490256271224,129129.0,3321
6010,1.3833490256271224,129129.0,3321
6110,1.3833490256271224,129129.0,3321
6210,2.938372737147916,129129.0,3321
6310,2.938372737147916,129129.0,3321
6410,2.938372737147916,129129.0,3321
6510,2.938372737147916,241280.0,3321
6610,2.938372737147916,241280.0,3321
6710,2.938372737147916,241280.0,3321
6811,2.938372737147916,241280.0,3321
6911,4.727647998485254,241280.0,3321
7011,4.727647998485254,241280.0,3321
7110,4.727647998485254,241280.0,3321
7209,4.727647998485254,358575.0,3321
7311,4.727647998485254,358575.0,3321
7409,4.727647998485254,358575.0,3368
7510,4.727647998485254,358575.0,3368
7610,6.26400370273323,358575.0,3368
7711,6.26400370273323,358575.0,3368
7810,6.26400370273323,358575.0,3368
7911,6.26400370273323,475086.0,3368
8010,6.26400370273323,475086.0,3368
8109,6.26400370273323,475086.0,3368
8210,6.26400370273323,475086.0,3368
8309,7.804093008435769,475086.0,3368
8411,7.804093008435769,475086.0,3368
8511,7.804093008435769,475086.0,3368
8610,7.804093008435769,579523.0,3368
8710,7.804093008435769,579523.0,3368
8810,7.804093008435769,579523.0,3368
8909,7.804093008435769,579523.0,3368
9010,9.554555850089546,579523.0,3368
9115,9.554555850089546,579523.0,3368
9210,9.554555850089546,579523.0,3368
9310,9.554555850089546,703990.0,3414
9411,9.554555850089546,703990.0,3414
9511,9.554555850089546,703990.0,3414
9610,9.554555850089546,703990.0,3414
9710,11.1844503375471,703990.0,3414
9810,11.1844503375471,703990.0,3414
9911,11.1844503375471,703990.0,3414
10010,11.1844503375471,831389.0,3414
10109,11.1844503375471,831389.0,3414
10211,11.1844503375471,831389.0,3414
10309,11.1844503375471,831389.0,3414
10410,11.1844503375471,831389.0,3414
10510,12.81793646442672,831389.0,3414
10609,12.81793646442672,831389.0,3414
10710,12.81793646442672,929052.0,3414
10810,12.81793646442672,929052.0,3414
10910,12.81793646442672,929052.0,3414
11010,12.81793646442672,929052.0,3414
11110,12.81793646442672,929052.0,3414
11209,14.345447934050389,929052.0,3461
11309,14.345447934050389,929052.0,3461
11409,14.345447934050389,1054892.0,3461
11510,14.345447934050389,1054892.0,3461
11611,14.345447934050389,1054892.0,3461
11711,14.345447934050389,1054892.0,3461
11811,14.345447934050389,1054892.0,3461
11909,16.182209495256604,1054892.0,3461
12010,16.182209495256604,1054892.0,3461
12110,16.182209495256604,1173589.0,3461
12211,16.182209495256604,1173589.0,3461
12310,16.182209495256604,1173589.0,3461
12412,16.182209495256604,1173589.0,3461
12510,16.182209495256604,1173589.0,3461
12610,17.88487372057002,1173589.0,3461
12711,17.88487372057002,1173589.0,3461
12810,17.88487372057002,1288260.0,3461
12910,17.88487372057002,1288260.0,3461
13010,17.88487372057002,1288260.0,3509
13111,17.88487372057002,1288260.0,3509
13212,17.88487372057002,1288260.0,3509
13309,19.42731959601194,1288260.0,3509
13410,19.42731959601194,1288260.0,3509
13511,19.42731959601194,1398504.0,3509
